name,id,id_movie
Pixar Animation Studios,3,862
Tristar Pictures,559,8844
Teitler Film,2550,8844
Interscope Communications,10201,8844
Warner Bros.,6194,15602
Lancaster Gate,19464,15602
Twentieth Century Fox Film Corporation,306,31357
Sandollar Productions,5842,11862
Touchstone Pictures,9195,11862
Regency Enterprises,508,949
Forward Pass,675,949
Warner Bros.,6194,949
Paramount Pictures,4,11860
Scott Rudin Productions,258,11860
Mirage Enterprises,932,11860
Sandollar Productions,5842,11860
Constellation Entertainment,14941,11860
Worldwide,55873,11860
Mont Blanc Entertainment Gmbh,58079,11860
Walt Disney Pictures,2,45325
Universal Pictures,33,9091
Imperial Entertainment,21437,9091
Signature Entertainment,23770,9091
United Artists,60,710
Eon Productions,7576,710
Columbia Pictures,5,9087
Castle Rock Entertainment,97,9087
Columbia Pictures,5,12110
Castle Rock Entertainment,97,12110
Enigma Pictures,6368,12110
Universal Pictures,33,21032
Amblin Entertainment,56,21032
Amblimation,4105,21032
Hollywood Pictures,915,10858
Cinergi Pictures Entertainment,1504,10858
Le Studio Canal+,183,1408
Laurence Mark Productions,415,1408
Metro-Goldwyn-Mayer (Mgm),8411,1408
Carolco Pictures,14723,1408
Universal Pictures,33,524
Légende Entreprises,10898,524
Syalis Da,11583,524
De Fina-Cappa,11584,524
Columbia Pictures Corporation,441,4584
Mirage Enterprises,932,4584
Miramax Films,14,5
A Band Apart,59,5
O Entertainment,5682,9273
Warner Bros.,6194,9273
Morgan Creek Productions,10210,9273
Columbia Pictures,5,11517
Jersey Films,216,8012
Metro-Goldwyn-Mayer (Mgm),8411,8012
Regency Enterprises,508,1710
New Regency Pictures,10104,1710
Silver Pictures,1885,9691
Canal+,5358,9691
Warner Bros.,6194,9691
Dino De Laurentiis Company,10308,9691
Donner/Shuler-Donner Productions,23397,9691
Evansgideon/Lazar,25061,9691
Caravan Pictures,175,12665
Hollywood Pictures,915,12665
United Artists,60,451
Intial Productions,15547,451
Columbia Pictures,5,16420
Castle Rock Entertainment,97,16420
New Line Cinema,12,9263
Bbc Films,288,17015
Procirep,311,902
Constellation Productions,590,902
France 3 Cinéma,591,902
Claudie Ossard Productions,592,902
Eurimages,850,902
Media Programme Of The European Union,851,902
Cofimage 5,1871,902
Televisión Española (Tve),6639,902
Tele München Fernseh Produktionsgesellschaft (Tmg),7237,902
Club D'Investissement Média,8170,902
Canal+ España,9335,902
Elías Querejeta Producciones Cinematográficas S.L.,12009,902
Centre National De La Cinématographie (Cnc),18367,902
Victoires Productions,25020,902
Constellation,25021,902
Lumière Pictures,25129,902
Canal+,47532,902
Studio Image,68517,902
Cofimage 4,79437,902
Ossane,79438,902
Phoenix Images,79439,902
Ministère Des Affaires Étrangères,2588,37557
Alpha Films,4507,37557
La Sept Cinéma,23647,37557
Hollywood Pictures,915,9909
Via Rosa Productions,10103,9909
Don Simpson/Jerry Bruckheimer Films,10288,9909
Universal Pictures,33,63
Atlas Entertainment,507,63
Classico,17031,63
Iwerks Entertainment,70801,78802
Universal Pictures,33,9598
Kennedy Miller Productions,2537,9598
Studiocanal,694,47018
Cinéa,874,47018
Euston Films,8363,47018
Freeway Films,19316,47018
European Co-Production Fund,30226,47018
Polygram Filmed Entertainment,31080,47018
Orsans Productions,44821,47018
Havoc,406,687
Polygram Filmed Entertainment,1382,687
Working Title Films,10163,687
Sony New Technologies,53390,139405
Dualstar Productions,6130,33689
Warner Bros.,6194,33689
Rysher Entertainment,11661,33689
Orr & Cruickshank,89131,33689
Paramount Pictures,4,9603
Miramax,53009,34615
Distant Horizon,85681,34615
Alpine Pty Limited,89840,34615
British Screen,871,31174
Mayfair Entertainment International,34237,31174
Caravan Pictures,175,11443
Underworld Entertainment,476,11443
Hollywood Pictures,915,11443
Miramax Films,14,35196
New Line Cinema,12,9312
Threshold Entertainment,4174,9312
The Rank Organisation,364,577
Columbia Pictures Corporation,441,577
Universal Pictures,33,11861
Amblin Entertainment,56,11861
New Line Cinema,12,807
Juno Pix,4286,807
Cecchi Gori Pictures,65394,807
Walt Disney Pictures,2,10530
Walt Disney Feature Animation,10217,10530
Alliance Communications Corporation,2480,8391
Blue Parrot Productions,361,629
Bad Hat Harry Productions,9168,629
Miramax Films,14,11448
Magnolia Pictures,1030,11448
Walt Disney Pictures,2,26441
Caravan Pictures,175,26441
Miramax Films,14,97406
Ciby 2000,7832,97406
Telefilm Canada,7320,124057
Melenny Productions,10260,124057
Paramount Pictures,4,9089
Egg Pictures,802,9089
Polygram Filmed Entertainment,1382,9089
Paramount Pictures,4,11359
Columbia Pictures Corporation,441,11359
The Kennedy/Marshall Company,862,11359
Paramount Pictures,4,17182
Hollywood Pictures,915,2054
The Charlie Mopic Company,916,2054
Polygram Filmed Entertainment,1382,2054
Interscope Communications,10201,2054
Miramax Films,14,10607
Island Pictures,3492,10607
Ivory Way Productions,5441,10607
Warner Bros.,6194,19760
Morgan Creek Productions,10210,19760
Metro-Goldwyn-Mayer (Mgm),8411,9536
Motion Picture Corporation Of America (Mpca),11061,9536
3 Arts Entertainment,36390,9536
Weasel Productions,38003,9536
New Line Cinema,12,11525
Miramax Films,14,40628
Renn Productions,82,4482
Les Films Flam,1614,4482
Tf1 Films Production,3823,4482
Canal+,5358,4482
New Line Cinema,12,10634
A Band Apart,59,755
Dimension Films,7405,755
Los Hooligans Productions,11705,755
Miramax,53009,755
Silver Pictures,1885,11859
